,title,link
0,Mercedes-Benz Klasa E 220 d 9G-TRONIC,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-przepych-i-luksus-banan-skory-panorama-kamera360-blis-ambiente-ID6EtFzQ.html
1,Chevrolet Camaro,https://www.otomoto.pl/oferta/chevrolet-camaro-2ss-v8-coupe-6-2-405-km-automat-kamera-led-xenon-navi-ID6Eu6IJ.html
2,Nissan Qashqai 2.0 4x4 Tekna,https://www.otomoto.pl/oferta/nissan-qashqai-2-0-4x4-full-kamera-360-navi-panorama-kamera-pakiet-chrom-8kol-ID6EuVBr.html
3,Toyota C-HR 1.2 T Premium,https://www.otomoto.pl/oferta/toyota-c-hr-1-2t-premium-116km-1-wlasciciel-salon-pl-bezwypadkowy-ID6EuHjH.html
4,Toyota C-HR 1.8 Hybrid Premium,https://www.otomoto.pl/oferta/toyota-c-hr-1-8-hybrid-salon-polska-i-wlasciciel-salon-polska-automat-ID6EtJab.html
5,Ford KA 1.2 Ambiente,https://www.otomoto.pl/oferta/ford-ka-ford-ka-1-2-gaz-bezwypadkowy-salon-polska-ID6EtM03.html
6,Audi A6 3.0 TDI Multitronic,https://www.otomoto.pl/oferta/audi-a6-audi-a6-3-0-ID6Eae90.html
7,Volkswagen CC,https://www.otomoto.pl/oferta/volkswagen-cc-2-0-d-170-km-coomon-rail-sport-ID6EtM0d.html
8,Chrysler Town &amp; Country 3.6 Touring,https://www.otomoto.pl/oferta/chrysler-town-country-mega-rodzinny-wersja-touring-3-6-benz-283-km-7-osob-skora-automat-ID6EtLAO.html
9,Mercedes-Benz Klasa E 220 CDI Elegance,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-super-stan-2006-2007-lift-skora-nawigacja-170-km-ID6EoFwy.html
10,BMW 3GT,https://www.otomoto.pl/oferta/bmw-3gt-320d-xdrive-gt-bawaria-motors-katowice-fv23-ID6EdcEx.html
11,Volkswagen Polo 1.2 Trendline,https://www.otomoto.pl/oferta/volkswagen-polo-1-2-pierwszy-wlasciciel-krajowy-serwisowany-ID6DKmFa.html
12,Toyota Yaris,https://www.otomoto.pl/oferta/toyota-yaris-led-navi-radary-kamera-servis-ID6EtL5s.html
13,Honda Civic,https://www.otomoto.pl/oferta/honda-civic-automat-salon-pl-2008-czujniki-bluetooth-klima-alu-warszawa-ID6EtLYR.html
14,Škoda Superb Combi 2.0 TDI 4x4 DSG,https://www.otomoto.pl/oferta/skoda-superb-skoda-superb-bogate-wyposazenie-4x4-ID6EtLZF.html
15,BMW Seria 5 530i M Sport sport,https://www.otomoto.pl/oferta/bmw-seria-5-adaptive-m-pakiet-252km-wydech-styling-m-power-gwarancja-dostawa-ID6EtLVS.html
16,Audi A6 55 TFSI Quattro Sport S tronic,https://www.otomoto.pl/oferta/audi-a6-55-tfsi-salon-niemcy-s-line-matrix-bangolufsen-panorama-kamera360-ID6EuVx7.html
17,Porsche Panamera 4 PDK,https://www.otomoto.pl/oferta/porsche-panamera-porsche-panemera-4-samochod-prywatny-4x4-ID6EuVuC.html
18,Volkswagen Tiguan,https://www.otomoto.pl/oferta/volkswagen-tiguan-life-1-5-tsi-act-150-km-plichta-gdynia-ID6DFQFf.html
19,Maserati Ghibli Automatik,https://www.otomoto.pl/oferta/maserati-ghibli-330km-salonpl-gwarancjafabrycznamaserati-fvat23-ID6Eup6u.html
20,Suzuki Vitara,https://www.otomoto.pl/oferta/suzuki-vitara-kamera-cofania-2-kluczyki-idealny-stan-polecam-1-6-ddis-ID6EsOtm.html
21,Audi A6,https://www.otomoto.pl/oferta/audi-a6-audi-a6-1-8t-zadbana-prywatne-ID6EtLXD.html
22,Škoda Superb,https://www.otomoto.pl/oferta/skoda-superb-2-0-170-km-navi-led-xenon-tempomat-alu-climatronic-blu-ID6EuoQh.html
23,Volkswagen Golf 1.0 TSI,https://www.otomoto.pl/oferta/volkswagen-golf-vw-golf-vii-1-0-tsi-salon-polska-serwisowany-bezwypadkowy-ID6EuVrc.html
24,Kia Ceed,https://www.otomoto.pl/oferta/kia-ceed-1-4-90-km-navi-led-alu-klima-bluetooth-salon-pl-f23-ID6EuoP7.html
25,Volkswagen ID.5,https://www.otomoto.pl/oferta/volkswagen-id-5-id4-77-kwh-150-kw-204-km-skrzynia-automatyczna-1-biegowa-ID6EqXMH.html
26,Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-150-km-navi-led-salon-pl-bluetooth-alu-fv23-ID6EtB3X.html
27,Škoda Fabia,https://www.otomoto.pl/oferta/skoda-fabia-oplacona-mpi-1-4-ben-75-ps-z-2005-rok-sliczna-200-oryg-ID6EuVu7.html
28,Ford Mondeo 2.0 TDCi Titanium PowerShift,https://www.otomoto.pl/oferta/ford-mondeo-2-0-180-km-titanium-automat-navi-kamera-park-assist-fv23-ID6Et8Xn.html
29,Škoda Fabia 1.4 16V Comfort,https://www.otomoto.pl/oferta/skoda-fabia-1-4-16v-klima-elektryka-bez-korozji-100tys-przeb-sprowadzona-z-niemiec-ID6EtLXm.html
30,Peugeot 308 1.6 THP GTi,https://www.otomoto.pl/oferta/peugeot-308-gti-bezwypadkowy-ID6EtLXH.html
31,Volkswagen ID.5,https://www.otomoto.pl/oferta/volkswagen-id-5-id4-77-kwh-150-kw-204-km-skrzynia-automatyczna-1-biegowa-ID6EqXMH.html
32,Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-150-km-navi-led-salon-pl-bluetooth-alu-fv23-ID6EtB3X.html
33,Škoda Fabia,https://www.otomoto.pl/oferta/skoda-fabia-oplacona-mpi-1-4-ben-75-ps-z-2005-rok-sliczna-200-oryg-ID6EuVu7.html
34,Ford Mondeo 2.0 TDCi Titanium PowerShift,https://www.otomoto.pl/oferta/ford-mondeo-2-0-180-km-titanium-automat-navi-kamera-park-assist-fv23-ID6Et8Xn.html
35,Audi Q5 3.2 FSI quattro S tronic,https://www.otomoto.pl/oferta/audi-q5-3-2-fsi-4x4-kamera-ksenon-nawi-skora-rata-miesieczna-1308zl-ID6EqXLY.html
36,Škoda Octavia,https://www.otomoto.pl/oferta/skoda-octavia-salonpl-serwisaso-bezwypadkowy-fv23-ID6EmZT8.html
37,Mercedes-Benz GL,https://www.otomoto.pl/oferta/mercedes-benz-gl-mercedes-gl-7-osob-ID6Et0jn.html
38,Hyundai Tucson,https://www.otomoto.pl/oferta/hyundai-tucson-ID6Ekc2S.html
39,BMW Seria 1 116d,https://www.otomoto.pl/oferta/bmw-seria-1-jak-nowy-perfekcyjny-stan-fabryczny-lakier-bez-wkladu-ID6EtLVA.html
40,Peugeot 308 1.6 THP GTi,https://www.otomoto.pl/oferta/peugeot-308-gti-bezwypadkowy-ID6EtLXH.html
41,Škoda Fabia 1.4 16V Comfort,https://www.otomoto.pl/oferta/skoda-fabia-1-4-16v-klima-elektryka-bez-korozji-100tys-przeb-sprowadzona-z-niemiec-ID6EtLXm.html
42,BMW Seria 3,https://www.otomoto.pl/oferta/bmw-seria-3-xenonlednawigacjael-klapaczujniki-parkowania-przod-i-tyloplacona-ID6EuVrX.html
43,Kia Sportage 1.6 GDI Business Line 2WD,https://www.otomoto.pl/oferta/kia-sportage-1-6-gdi-navi-ledy-klimatronic-47-000-km-ID6EuUuO.html
44,Saab 9-5 Kombi 3.0 TiD Vector,https://www.otomoto.pl/oferta/saab-9-5-saab-95-v6-bardzo-dobry-stan-ID6EtLQH.html
45,Lexus NX,https://www.otomoto.pl/oferta/lexus-nx-salon-polska-300h-comfort-awd-navi-ID6Epdlh.html
46,Audi A5 Sportback 2.0 TDI S tronic,https://www.otomoto.pl/oferta/audi-a5-audi-a5-sportback-ii-2-0-tdi-150ch-s-tronic-7-ID6EtLSE.html
47,Mercedes-Benz SL,https://www.otomoto.pl/oferta/mercedes-benz-sl-mercedes-560sl-po-renowacji-ID6EtVxE.html
48,Land Rover Range Rover Evoque 2.0 P249 mHEV R-Dynamic HSE,https://www.otomoto.pl/oferta/land-rover-range-rover-evoque-samochod-demo-i-sza-rej-2022-najbogatsza-wersja-r-dynamic-hse-ID6EuQSg.html
49,Jaguar F-Pace 2.0 P250 mHEV AWD SE,https://www.otomoto.pl/oferta/jaguar-f-pace-nowy-2022-dostepny-od-reki-4x4-najpopularniejszy-silnik-250-km-ID6EtUFs.html
50,Škoda Superb 2.0 TDI Ambition,https://www.otomoto.pl/oferta/skoda-superb-bi-xenon-navi-kamera-led-ambition-salon-pl-serwis-aso-f-vat23-leasing-ID6Et0jl.html
51,Audi A1 1.4 TFSI S tronic,https://www.otomoto.pl/oferta/audi-a1-exclusive-benzyna-1-4tfsi-automat-s-tronic-navi-lopatki-alu-piekna-ID6EtLVG.html
52,Ford Mondeo 2.0 TDCi Titanium MPS6,https://www.otomoto.pl/oferta/ford-mondeo-titaniumbixenonledynaviconverstempomatel-fotelealuparktronic-ID6EsLce.html
53,Honda Civic 1.8 GT Special Edition,https://www.otomoto.pl/oferta/honda-civic-1-8-ivtec-sport-gt-bardzo-ladny-stan-ID6E7lvB.html
54,Škoda Superb 2.0 TDI L&amp;K DSG,https://www.otomoto.pl/oferta/skoda-superb-kombi-l-k-webasto-dsg-adapt-zawi-panoram-fv23-1wlasci-salonpl-ID6EqXzc.html
55,Mercedes-Benz CLA AMG 35 4-Matic 7G-DCT,https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-amg-cla-35-4matic-shooting-brake-pierwszy-wlasciciel-ID6EtLR0.html
